Container stores 10000 shapes:
Parallelepiped: a = 9, b = 1, c = 6; Density = 1; SurfaceArea = 138.0
Tetrahedron: a = 22; Density = 8; SurfaceArea = 838.3125908633366
Tetrahedron: a = 5; Density = 9; SurfaceArea = 43.30127018922193
Tetrahedron: a = 27; Density = 26; SurfaceArea = 1262.6650387177115
Parallelepiped: a = 8, b = 10, c = 16; Density = 8; SurfaceArea = 736.0
Sphere: r = 15; Density = 3; SurfaceArea = 2827.4333882308138
Tetrahedron: a = 20; Density = 9; SurfaceArea = 692.8203230275509
Tetrahedron: a = 19; Density = 7; SurfaceArea = 625.2703415323647
Sphere: r = 5; Density = 9; SurfaceArea = 314.1592653589793
Tetrahedron: a = 15; Density = 10; SurfaceArea = 389.71143170299734
Sphere: r = 28; Density = 19; SurfaceArea = 9852.03456165759
Parallelepiped: a = 15, b = 3, c = 26; Density = 10; SurfaceArea = 1026.0
Tetrahedron: a = 29; Density = 25; SurfaceArea = 1456.6547291654258
Parallelepiped: a = 15, b = 29, c = 16; Density = 24; SurfaceArea = 2278.0
Sphere: r = 5; Density = 21; SurfaceArea = 314.1592653589793
Sphere: r = 7; Density = 4; SurfaceArea = 615.7521601035994
Tetrahedron: a = 15; Density = 9; SurfaceArea = 389.71143170299734
Parallelepiped: a = 3, b = 8, c = 28; Density = 22; SurfaceArea = 664.0
Parallelepiped: a = 21, b = 1, c = 13; Density = 7; SurfaceArea = 614.0
Sphere: r = 9; Density = 21; SurfaceArea = 1017.8760197630929
Tetrahedron: a = 30; Density = 18; SurfaceArea = 1558.8457268119894
Parallelepiped: a = 5, b = 26, c = 22; Density = 7; SurfaceArea = 1624.0
Parallelepiped: a = 18, b = 16, c = 8; Density = 7; SurfaceArea = 1120.0
Sphere: r = 15; Density = 12; SurfaceArea = 2827.4333882308138
Tetrahedron: a = 2; Density = 3; SurfaceArea = 6.928203230275509
Sphere: r = 17; Density = 25; SurfaceArea = 3631.681107549801
Tetrahedron: a = 22; Density = 22; SurfaceArea = 838.3125908633366
Parallelepiped: a = 7, b = 16, c = 7; Density = 5; SurfaceArea = 546.0
Tetrahedron: a = 27; Density = 6; SurfaceArea = 1262.6650387177115
Tetrahedron: a = 28; Density = 7; SurfaceArea = 1357.9278331339997
Sphere: r = 5; Density = 23; SurfaceArea = 314.1592653589793
Parallelepiped: a = 4, b = 25, c = 28; Density = 17; SurfaceArea = 1824.0
Sphere: r = 6; Density = 25; SurfaceArea = 452.3893421169302
Sphere: r = 18; Density = 1; SurfaceArea = 4071.5040790523717
Sphere: r = 5; Density = 21; SurfaceArea = 314.1592653589793
Parallelepiped: a = 6, b = 2, c = 11; Density = 7; SurfaceArea = 200.0
Parallelepiped: a = 7, b = 24, c = 17; Density = 30; SurfaceArea = 1390.0
Parallelepiped: a = 18, b = 4, c = 1; Density = 9; SurfaceArea = 188.0
Sphere: r = 10; Density = 28; SurfaceArea = 1256.6370614359173
Sphere: r = 26; Density = 26; SurfaceArea = 8494.8665353068
Sphere: r = 6; Density = 25; SurfaceArea = 452.3893421169302
Tetrahedron: a = 24; Density = 1; SurfaceArea = 997.6612651596732
Tetrahedron: a = 19; Density = 24; SurfaceArea = 625.2703415323647
Sphere: r = 15; Density = 22; SurfaceArea = 2827.4333882308138
Parallelepiped: a = 5, b = 25, c = 26; Density = 12; SurfaceArea = 1810.0
Sphere: r = 7; Density = 13; SurfaceArea = 615.7521601035994
Sphere: r = 9; Density = 12; SurfaceArea = 1017.8760197630929
Parallelepiped: a = 29, b = 22, c = 26; Density = 17; SurfaceArea = 3928.0
Sphere: r = 17; Density = 11; SurfaceArea = 3631.681107549801
Parallelepiped: a = 5, b = 6, c = 23; Density = 25; SurfaceArea = 566.0
Tetrahedron: a = 26; Density = 11; SurfaceArea = 1170.866345916561
Sphere: r = 23; Density = 15; SurfaceArea = 6647.610054996002
Sphere: r = 16; Density = 23; SurfaceArea = 3216.990877275948
Tetrahedron: a = 26; Density = 15; SurfaceArea = 1170.866345916561
Tetrahedron: a = 15; Density = 14; SurfaceArea = 389.71143170299734
Parallelepiped: a = 13, b = 23, c = 13; Density = 26; SurfaceArea = 1534.0
Parallelepiped: a = 19, b = 12, c = 22; Density = 5; SurfaceArea = 1820.0
Sphere: r = 30; Density = 10; SurfaceArea = 11309.733552923255
Sphere: r = 3; Density = 26; SurfaceArea = 113.09733552923255
Parallelepiped: a = 15, b = 4, c = 23; Density = 6; SurfaceArea = 994.0
Parallelepiped: a = 10, b = 4, c = 13; Density = 22; SurfaceArea = 444.0
Sphere: r = 8; Density = 9; SurfaceArea = 804.247719318987
Sphere: r = 7; Density = 29; SurfaceArea = 615.7521601035994
Sphere: r = 13; Density = 1; SurfaceArea = 2123.7166338267
Sphere: r = 22; Density = 28; SurfaceArea = 6082.12337734984
Sphere: r = 10; Density = 19; SurfaceArea = 1256.6370614359173
Parallelepiped: a = 16, b = 11, c = 8; Density = 12; SurfaceArea = 784.0
Tetrahedron: a = 17; Density = 11; SurfaceArea = 500.5626833874055
Parallelepiped: a = 19, b = 10, c = 27; Density = 9; SurfaceArea = 1946.0
Tetrahedron: a = 18; Density = 30; SurfaceArea = 561.1844616523163
Sphere: r = 6; Density = 17; SurfaceArea = 452.3893421169302
Tetrahedron: a = 30; Density = 6; SurfaceArea = 1558.8457268119894
Parallelepiped: a = 24, b = 25, c = 10; Density = 26; SurfaceArea = 2180.0
Tetrahedron: a = 26; Density = 6; SurfaceArea = 1170.866345916561
Parallelepiped: a = 19, b = 26, c = 30; Density = 25; SurfaceArea = 3688.0
Parallelepiped: a = 21, b = 4, c = 9; Density = 4; SurfaceArea = 618.0
Sphere: r = 12; Density = 17; SurfaceArea = 1809.5573684677208
Parallelepiped: a = 6, b = 22, c = 16; Density = 30; SurfaceArea = 1160.0
Sphere: r = 7; Density = 7; SurfaceArea = 615.7521601035994
Parallelepiped: a = 1, b = 27, c = 8; Density = 13; SurfaceArea = 502.0
Tetrahedron: a = 21; Density = 8; SurfaceArea = 763.8344061378748
Sphere: r = 23; Density = 7; SurfaceArea = 6647.610054996002
Tetrahedron: a = 19; Density = 26; SurfaceArea = 625.2703415323647
Sphere: r = 26; Density = 11; SurfaceArea = 8494.8665353068
Parallelepiped: a = 28, b = 12, c = 23; Density = 22; SurfaceArea = 2512.0
Sphere: r = 16; Density = 8; SurfaceArea = 3216.990877275948
Sphere: r = 10; Density = 3; SurfaceArea = 1256.6370614359173
Sphere: r = 4; Density = 10; SurfaceArea = 201.06192982974676
Sphere: r = 18; Density = 28; SurfaceArea = 4071.5040790523717
Sphere: r = 12; Density = 30; SurfaceArea = 1809.5573684677208
Sphere: r = 25; Density = 2; SurfaceArea = 7853.981633974483
Parallelepiped: a = 30, b = 10, c = 3; Density = 18; SurfaceArea = 840.0
Parallelepiped: a = 21, b = 3, c = 1; Density = 7; SurfaceArea = 174.0
Sphere: r = 3; Density = 22; SurfaceArea = 113.09733552923255
Tetrahedron: a = 7; Density = 21; SurfaceArea = 84.87048957087498
Sphere: r = 21; Density = 4; SurfaceArea = 5541.769440932395
Tetrahedron: a = 5; Density = 30; SurfaceArea = 43.30127018922193
Tetrahedron: a = 2; Density = 15; SurfaceArea = 6.928203230275509
Parallelepiped: a = 2, b = 15, c = 5; Density = 12; SurfaceArea = 230.0
Sphere: r = 18; Density = 20; SurfaceArea = 4071.5040790523717
Sphere: r = 16; Density = 1; SurfaceArea = 3216.990877275948
Tetrahedron: a = 23; Density = 2; SurfaceArea = 916.2548772039361
Parallelepiped: a = 2, b = 19, c = 4; Density = 2; SurfaceArea = 244.0
Tetrahedron: a = 3; Density = 16; SurfaceArea = 15.588457268119894
Parallelepiped: a = 15, b = 5, c = 16; Density = 19; SurfaceArea = 790.0
Tetrahedron: a = 4; Density = 14; SurfaceArea = 27.712812921102035
Parallelepiped: a = 1, b = 28, c = 2; Density = 30; SurfaceArea = 172.0
Parallelepiped: a = 25, b = 20, c = 21; Density = 28; SurfaceArea = 2890.0
Parallelepiped: a = 2, b = 24, c = 3; Density = 28; SurfaceArea = 252.0
Tetrahedron: a = 1; Density = 17; SurfaceArea = 1.7320508075688772
Parallelepiped: a = 24, b = 4, c = 23; Density = 26; SurfaceArea = 1480.0
Tetrahedron: a = 16; Density = 7; SurfaceArea = 443.40500673763256
Parallelepiped: a = 19, b = 22, c = 18; Density = 14; SurfaceArea = 2312.0
Sphere: r = 8; Density = 19; SurfaceArea = 804.247719318987
Sphere: r = 20; Density = 8; SurfaceArea = 5026.548245743669
Tetrahedron: a = 15; Density = 9; SurfaceArea = 389.71143170299734
Tetrahedron: a = 19; Density = 26; SurfaceArea = 625.2703415323647
Sphere: r = 22; Density = 16; SurfaceArea = 6082.12337734984
Parallelepiped: a = 12, b = 27, c = 8; Density = 28; SurfaceArea = 1272.0
Sphere: r = 23; Density = 15; SurfaceArea = 6647.610054996002
Parallelepiped: a = 30, b = 4, c = 8; Density = 17; SurfaceArea = 784.0
Parallelepiped: a = 30, b = 17, c = 4; Density = 17; SurfaceArea = 1396.0
Parallelepiped: a = 11, b = 26, c = 21; Density = 2; SurfaceArea = 2126.0
Sphere: r = 19; Density = 15; SurfaceArea = 4536.459791783661
Sphere: r = 13; Density = 17; SurfaceArea = 2123.7166338267
Sphere: r = 19; Density = 24; SurfaceArea = 4536.459791783661
Tetrahedron: a = 21; Density = 17; SurfaceArea = 763.8344061378748
Parallelepiped: a = 16, b = 22, c = 30; Density = 21; SurfaceArea = 2984.0
Parallelepiped: a = 15, b = 24, c = 12; Density = 5; SurfaceArea = 1656.0
Parallelepiped: a = 22, b = 9, c = 30; Density = 29; SurfaceArea = 2256.0
Sphere: r = 4; Density = 22; SurfaceArea = 201.06192982974676
Sphere: r = 12; Density = 15; SurfaceArea = 1809.5573684677208
Sphere: r = 29; Density = 7; SurfaceArea = 10568.317686676064
Tetrahedron: a = 13; Density = 23; SurfaceArea = 292.71658647914023
Parallelepiped: a = 2, b = 25, c = 21; Density = 15; SurfaceArea = 1234.0
Sphere: r = 26; Density = 12; SurfaceArea = 8494.8665353068
Parallelepiped: a = 1, b = 16, c = 25; Density = 11; SurfaceArea = 882.0
Sphere: r = 23; Density = 18; SurfaceArea = 6647.610054996002
Tetrahedron: a = 18; Density = 1; SurfaceArea = 561.1844616523163
Sphere: r = 12; Density = 4; SurfaceArea = 1809.5573684677208
Sphere: r = 20; Density = 6; SurfaceArea = 5026.548245743669
Sphere: r = 7; Density = 5; SurfaceArea = 615.7521601035994
Parallelepiped: a = 21, b = 1, c = 28; Density = 7; SurfaceArea = 1274.0
Tetrahedron: a = 14; Density = 15; SurfaceArea = 339.4819582834999
Sphere: r = 30; Density = 20; SurfaceArea = 11309.733552923255
Sphere: r = 20; Density = 12; SurfaceArea = 5026.548245743669
Tetrahedron: a = 2; Density = 2; SurfaceArea = 6.928203230275509
Parallelepiped: a = 28, b = 22, c = 14; Density = 9; SurfaceArea = 2632.0
Sphere: r = 28; Density = 3; SurfaceArea = 9852.03456165759
Sphere: r = 20; Density = 18; SurfaceArea = 5026.548245743669
Sphere: r = 4; Density = 20; SurfaceArea = 201.06192982974676
Parallelepiped: a = 9, b = 15, c = 14; Density = 2; SurfaceArea = 942.0
Tetrahedron: a = 19; Density = 20; SurfaceArea = 625.2703415323647
Tetrahedron: a = 23; Density = 12; SurfaceArea = 916.2548772039361
Parallelepiped: a = 6, b = 1, c = 19; Density = 13; SurfaceArea = 278.0
Parallelepiped: a = 21, b = 5, c = 19; Density = 16; SurfaceArea = 1198.0
Tetrahedron: a = 24; Density = 6; SurfaceArea = 997.6612651596732
Sphere: r = 12; Density = 12; SurfaceArea = 1809.5573684677208
Parallelepiped: a = 2, b = 17, c = 15; Density = 26; SurfaceArea = 638.0
Sphere: r = 9; Density = 23; SurfaceArea = 1017.8760197630929
Tetrahedron: a = 4; Density = 1; SurfaceArea = 27.712812921102035
Sphere: r = 12; Density = 25; SurfaceArea = 1809.5573684677208
Parallelepiped: a = 8, b = 18, c = 14; Density = 29; SurfaceArea = 1016.0
Tetrahedron: a = 27; Density = 6; SurfaceArea = 1262.6650387177115
Tetrahedron: a = 21; Density = 17; SurfaceArea = 763.8344061378748
Parallelepiped: a = 8, b = 11, c = 25; Density = 6; SurfaceArea = 1126.0
Sphere: r = 20; Density = 26; SurfaceArea = 5026.548245743669
Sphere: r = 3; Density = 16; SurfaceArea = 113.09733552923255
Parallelepiped: a = 4, b = 6, c = 24; Density = 17; SurfaceArea = 528.0
Parallelepiped: a = 1, b = 1, c = 5; Density = 13; SurfaceArea = 22.0
Sphere: r = 15; Density = 10; SurfaceArea = 2827.4333882308138
Sphere: r = 19; Density = 19; SurfaceArea = 4536.459791783661
Tetrahedron: a = 22; Density = 13; SurfaceArea = 838.3125908633366
Tetrahedron: a = 21; Density = 5; SurfaceArea = 763.8344061378748
Tetrahedron: a = 10; Density = 30; SurfaceArea = 173.20508075688772
Tetrahedron: a = 15; Density = 10; SurfaceArea = 389.71143170299734
Parallelepiped: a = 8, b = 18, c = 15; Density = 28; SurfaceArea = 1068.0
Tetrahedron: a = 14; Density = 23; SurfaceArea = 339.4819582834999
Tetrahedron: a = 29; Density = 6; SurfaceArea = 1456.6547291654258
Tetrahedron: a = 30; Density = 7; SurfaceArea = 1558.8457268119894
Tetrahedron: a = 12; Density = 29; SurfaceArea = 249.4153162899183
Sphere: r = 4; Density = 15; SurfaceArea = 201.06192982974676
Parallelepiped: a = 27, b = 30, c = 14; Density = 16; SurfaceArea = 3216.0
Parallelepiped: a = 15, b = 16, c = 4; Density = 19; SurfaceArea = 728.0
Sphere: r = 7; Density = 18; SurfaceArea = 615.7521601035994
Parallelepiped: a = 5, b = 24, c = 18; Density = 23; SurfaceArea = 1284.0
Parallelepiped: a = 21, b = 28, c = 30; Density = 26; SurfaceArea = 4116.0
Sphere: r = 2; Density = 30; SurfaceArea = 50.26548245743669
Parallelepiped: a = 6, b = 15, c = 8; Density = 16; SurfaceArea = 516.0
Parallelepiped: a = 3, b = 10, c = 21; Density = 1; SurfaceArea = 606.0
Sphere: r = 30; Density = 4; SurfaceArea = 11309.733552923255
Tetrahedron: a = 22; Density = 15; SurfaceArea = 838.3125908633366
Parallelepiped: a = 24, b = 12, c = 9; Density = 12; SurfaceArea = 1224.0
Sphere: r = 4; Density = 26; SurfaceArea = 201.06192982974676
Parallelepiped: a = 12, b = 18, c = 10; Density = 26; SurfaceArea = 1032.0
Tetrahedron: a = 18; Density = 13; SurfaceArea = 561.1844616523163
Parallelepiped: a = 13, b = 30, c = 5; Density = 21; SurfaceArea = 1210.0
Tetrahedron: a = 26; Density = 20; SurfaceArea = 1170.866345916561
Parallelepiped: a = 30, b = 20, c = 26; Density = 1; SurfaceArea = 3800.0
Tetrahedron: a = 13; Density = 17; SurfaceArea = 292.71658647914023
Tetrahedron: a = 12; Density = 26; SurfaceArea = 249.4153162899183
Sphere: r = 4; Density = 14; SurfaceArea = 201.06192982974676
Tetrahedron: a = 5; Density = 13; SurfaceArea = 43.30127018922193
Tetrahedron: a = 15; Density = 20; SurfaceArea = 389.71143170299734
Parallelepiped: a = 9, b = 7, c = 22; Density = 24; SurfaceArea = 830.0
Parallelepiped: a = 3, b = 20, c = 27; Density = 24; SurfaceArea = 1362.0
Sphere: r = 19; Density = 28; SurfaceArea = 4536.459791783661
Tetrahedron: a = 11; Density = 8; SurfaceArea = 209.57814771583415
Tetrahedron: a = 30; Density = 6; SurfaceArea = 1558.8457268119894
Parallelepiped: a = 7, b = 21, c = 18; Density = 1; SurfaceArea = 1302.0
Tetrahedron: a = 3; Density = 2; SurfaceArea = 15.588457268119894
Parallelepiped: a = 29, b = 16, c = 18; Density = 20; SurfaceArea = 2548.0
Sphere: r = 22; Density = 17; SurfaceArea = 6082.12337734984
Parallelepiped: a = 16, b = 24, c = 19; Density = 8; SurfaceArea = 2288.0
Tetrahedron: a = 25; Density = 17; SurfaceArea = 1082.5317547305483
Parallelepiped: a = 18, b = 14, c = 3; Density = 4; SurfaceArea = 696.0
Tetrahedron: a = 17; Density = 10; SurfaceArea = 500.5626833874055
Tetrahedron: a = 5; Density = 3; SurfaceArea = 43.30127018922193
Parallelepiped: a = 21, b = 24, c = 7; Density = 5; SurfaceArea = 1638.0
Parallelepiped: a = 24, b = 6, c = 27; Density = 29; SurfaceArea = 1908.0
Tetrahedron: a = 5; Density = 3; SurfaceArea = 43.30127018922193
Sphere: r = 20; Density = 18; SurfaceArea = 5026.548245743669
Parallelepiped: a = 8, b = 22, c = 10; Density = 5; SurfaceArea = 952.0
Parallelepiped: a = 8, b = 18, c = 10; Density = 29; SurfaceArea = 808.0
Parallelepiped: a = 21, b = 10, c = 6; Density = 22; SurfaceArea = 792.0
Tetrahedron: a = 6; Density = 27; SurfaceArea = 62.35382907247958
Tetrahedron: a = 30; Density = 27; SurfaceArea = 1558.8457268119894
Sphere: r = 3; Density = 12; SurfaceArea = 113.09733552923255
Tetrahedron: a = 22; Density = 1; SurfaceArea = 838.3125908633366
Parallelepiped: a = 2, b = 5, c = 26; Density = 16; SurfaceArea = 384.0
Parallelepiped: a = 22, b = 5, c = 4; Density = 21; SurfaceArea = 436.0
Sphere: r = 8; Density = 13; SurfaceArea = 804.247719318987
Sphere: r = 5; Density = 13; SurfaceArea = 314.1592653589793
Parallelepiped: a = 28, b = 21, c = 25; Density = 18; SurfaceArea = 3626.0
Parallelepiped: a = 24, b = 12, c = 18; Density = 8; SurfaceArea = 1872.0
Parallelepiped: a = 8, b = 10, c = 24; Density = 13; SurfaceArea = 1024.0
Sphere: r = 30; Density = 8; SurfaceArea = 11309.733552923255
Tetrahedron: a = 12; Density = 29; SurfaceArea = 249.4153162899183
Tetrahedron: a = 1; Density = 27; SurfaceArea = 1.7320508075688772
Parallelepiped: a = 28, b = 19, c = 20; Density = 16; SurfaceArea = 2944.0
Parallelepiped: a = 12, b = 15, c = 1; Density = 25; SurfaceArea = 414.0
Sphere: r = 3; Density = 24; SurfaceArea = 113.09733552923255
Sphere: r = 29; Density = 16; SurfaceArea = 10568.317686676064
Sphere: r = 18; Density = 13; SurfaceArea = 4071.5040790523717
Tetrahedron: a = 9; Density = 5; SurfaceArea = 140.29611541307906
Parallelepiped: a = 21, b = 24, c = 8; Density = 16; SurfaceArea = 1728.0
Tetrahedron: a = 13; Density = 8; SurfaceArea = 292.71658647914023
Tetrahedron: a = 29; Density = 15; SurfaceArea = 1456.6547291654258
Tetrahedron: a = 13; Density = 21; SurfaceArea = 292.71658647914023
Tetrahedron: a = 3; Density = 15; SurfaceArea = 15.588457268119894
Parallelepiped: a = 6, b = 1, c = 30; Density = 23; SurfaceArea = 432.0
Tetrahedron: a = 13; Density = 11; SurfaceArea = 292.71658647914023
Parallelepiped: a = 19, b = 26, c = 7; Density = 29; SurfaceArea = 1618.0
Sphere: r = 19; Density = 16; SurfaceArea = 4536.459791783661
Sphere: r = 24; Density = 16; SurfaceArea = 7238.229473870883
Tetrahedron: a = 4; Density = 29; SurfaceArea = 27.712812921102035
Sphere: r = 22; Density = 14; SurfaceArea = 6082.12337734984
Tetrahedron: a = 28; Density = 20; SurfaceArea = 1357.9278331339997
Sphere: r = 6; Density = 11; SurfaceArea = 452.3893421169302
Parallelepiped: a = 27, b = 6, c = 22; Density = 21; SurfaceArea = 1776.0
Parallelepiped: a = 6, b = 11, c = 23; Density = 19; SurfaceArea = 914.0
Parallelepiped: a = 9, b = 18, c = 2; Density = 8; SurfaceArea = 432.0
Parallelepiped: a = 7, b = 14, c = 11; Density = 18; SurfaceArea = 658.0
Sphere: r = 12; Density = 3; SurfaceArea = 1809.5573684677208
Sphere: r = 8; Density = 29; SurfaceArea = 804.247719318987
Sphere: r = 27; Density = 3; SurfaceArea = 9160.884177867836
Parallelepiped: a = 27, b = 15, c = 4; Density = 26; SurfaceArea = 1146.0
Sphere: r = 19; Density = 5; SurfaceArea = 4536.459791783661
Tetrahedron: a = 30; Density = 21; SurfaceArea = 1558.8457268119894
Tetrahedron: a = 2; Density = 12; SurfaceArea = 6.928203230275509
Parallelepiped: a = 15, b = 12, c = 29; Density = 26; SurfaceArea = 1926.0
Parallelepiped: a = 20, b = 17, c = 21; Density = 18; SurfaceArea = 2234.0
Sphere: r = 2; Density = 14; SurfaceArea = 50.26548245743669
Parallelepiped: a = 1, b = 10, c = 8; Density = 22; SurfaceArea = 196.0
Parallelepiped: a = 7, b = 3, c = 25; Density = 14; SurfaceArea = 542.0
Sphere: r = 12; Density = 22; SurfaceArea = 1809.5573684677208
Tetrahedron: a = 1; Density = 12; SurfaceArea = 1.7320508075688772
Sphere: r = 26; Density = 28; SurfaceArea = 8494.8665353068
Tetrahedron: a = 26; Density = 23; SurfaceArea = 1170.866345916561
Sphere: r = 5; Density = 21; SurfaceArea = 314.1592653589793
Sphere: r = 27; Density = 30; SurfaceArea = 9160.884177867836
Sphere: r = 19; Density = 8; SurfaceArea = 4536.459791783661
Parallelepiped: a = 12, b = 19, c = 6; Density = 12; SurfaceArea = 828.0
Parallelepiped: a = 28, b = 4, c = 15; Density = 14; SurfaceArea = 1184.0
Parallelepiped: a = 21, b = 29, c = 5; Density = 24; SurfaceArea = 1718.0
Tetrahedron: a = 1; Density = 21; SurfaceArea = 1.7320508075688772
Tetrahedron: a = 13; Density = 15; SurfaceArea = 292.71658647914023
Sphere: r = 15; Density = 27; SurfaceArea = 2827.4333882308138
Tetrahedron: a = 19; Density = 23; SurfaceArea = 625.2703415323647
Sphere: r = 30; Density = 18; SurfaceArea = 11309.733552923255
Sphere: r = 17; Density = 7; SurfaceArea = 3631.681107549801
Tetrahedron: a = 22; Density = 5; SurfaceArea = 838.3125908633366
Parallelepiped: a = 12, b = 29, c = 5; Density = 1; SurfaceArea = 1106.0
Tetrahedron: a = 21; Density = 24; SurfaceArea = 763.8344061378748
Tetrahedron: a = 29; Density = 26; SurfaceArea = 1456.6547291654258
Tetrahedron: a = 25; Density = 8; SurfaceArea = 1082.5317547305483
Sphere: r = 5; Density = 22; SurfaceArea = 314.1592653589793
Sphere: r = 30; Density = 13; SurfaceArea = 11309.733552923255
Tetrahedron: a = 9; Density = 29; SurfaceArea = 140.29611541307906
Parallelepiped: a = 6, b = 30, c = 12; Density = 6; SurfaceArea = 1224.0
Sphere: r = 6; Density = 14; SurfaceArea = 452.3893421169302
Tetrahedron: a = 17; Density = 4; SurfaceArea = 500.5626833874055
Tetrahedron: a = 15; Density = 18; SurfaceArea = 389.71143170299734
Parallelepiped: a = 9, b = 21, c = 2; Density = 22; SurfaceArea = 498.0
Tetrahedron: a = 28; Density = 13; SurfaceArea = 1357.9278331339997
Sphere: r = 20; Density = 9; SurfaceArea = 5026.548245743669
Parallelepiped: a = 29, b = 16, c = 4; Density = 24; SurfaceArea = 1288.0
Parallelepiped: a = 13, b = 3, c = 23; Density = 21; SurfaceArea = 814.0
Tetrahedron: a = 25; Density = 7; SurfaceArea = 1082.5317547305483
Tetrahedron: a = 18; Density = 13; SurfaceArea = 561.1844616523163
Tetrahedron: a = 23; Density = 5; SurfaceArea = 916.2548772039361
Tetrahedron: a = 1; Density = 28; SurfaceArea = 1.7320508075688772
Sphere: r = 16; Density = 4; SurfaceArea = 3216.990877275948
Sphere: r = 30; Density = 2; SurfaceArea = 11309.733552923255
Tetrahedron: a = 7; Density = 6; SurfaceArea = 84.87048957087498
Parallelepiped: a = 14, b = 21, c = 21; Density = 12; SurfaceArea = 2058.0
Sphere: r = 17; Density = 11; SurfaceArea = 3631.681107549801
Tetrahedron: a = 14; Density = 9; SurfaceArea = 339.4819582834999
Tetrahedron: a = 25; Density = 19; SurfaceArea = 1082.5317547305483
Parallelepiped: a = 21, b = 5, c = 22; Density = 22; SurfaceArea = 1354.0
Parallelepiped: a = 7, b = 13, c = 26; Density = 5; SurfaceArea = 1222.0
Parallelepiped: a = 29, b = 29, c = 2; Density = 15; SurfaceArea = 1914.0
Sphere: r = 30; Density = 19; SurfaceArea = 11309.733552923255
Tetrahedron: a = 24; Density = 3; SurfaceArea = 997.6612651596732
Sphere: r = 19; Density = 27; SurfaceArea = 4536.459791783661
Tetrahedron: a = 8; Density = 27; SurfaceArea = 110.85125168440814
Parallelepiped: a = 23, b = 24, c = 27; Density = 3; SurfaceArea = 3642.0
Tetrahedron: a = 12; Density = 18; SurfaceArea = 249.4153162899183
Sphere: r = 17; Density = 1; SurfaceArea = 3631.681107549801
Parallelepiped: a = 5, b = 22, c = 1; Density = 25; SurfaceArea = 274.0
Parallelepiped: a = 19, b = 19, c = 27; Density = 7; SurfaceArea = 2774.0
Parallelepiped: a = 24, b = 10, c = 13; Density = 12; SurfaceArea = 1364.0
Tetrahedron: a = 19; Density = 8; SurfaceArea = 625.2703415323647
Tetrahedron: a = 17; Density = 15; SurfaceArea = 500.5626833874055
Tetrahedron: a = 14; Density = 17; SurfaceArea = 339.4819582834999
Parallelepiped: a = 28, b = 27, c = 3; Density = 29; SurfaceArea = 1842.0
Tetrahedron: a = 8; Density = 2; SurfaceArea = 110.85125168440814
Tetrahedron: a = 29; Density = 20; SurfaceArea = 1456.6547291654258
Parallelepiped: a = 15, b = 13, c = 6; Density = 30; SurfaceArea = 726.0
Sphere: r = 25; Density = 5; SurfaceArea = 7853.981633974483
Tetrahedron: a = 14; Density = 11; SurfaceArea = 339.4819582834999
Sphere: r = 9; Density = 7; SurfaceArea = 1017.8760197630929
Sphere: r = 19; Density = 5; SurfaceArea = 4536.459791783661
Parallelepiped: a = 22, b = 22, c = 26; Density = 4; SurfaceArea = 3256.0
Sphere: r = 3; Density = 8; SurfaceArea = 113.09733552923255
Sphere: r = 7; Density = 29; SurfaceArea = 615.7521601035994
Tetrahedron: a = 21; Density = 30; SurfaceArea = 763.8344061378748
Tetrahedron: a = 7; Density = 9; SurfaceArea = 84.87048957087498
Tetrahedron: a = 30; Density = 15; SurfaceArea = 1558.8457268119894
Tetrahedron: a = 16; Density = 19; SurfaceArea = 443.40500673763256
Sphere: r = 23; Density = 11; SurfaceArea = 6647.610054996002
Parallelepiped: a = 19, b = 18, c = 23; Density = 29; SurfaceArea = 2386.0
Tetrahedron: a = 2; Density = 2; SurfaceArea = 6.928203230275509
Sphere: r = 22; Density = 18; SurfaceArea = 6082.12337734984
Parallelepiped: a = 26, b = 27, c = 14; Density = 15; SurfaceArea = 2888.0
Parallelepiped: a = 18, b = 17, c = 23; Density = 27; SurfaceArea = 2222.0
Sphere: r = 27; Density = 2; SurfaceArea = 9160.884177867836
Sphere: r = 26; Density = 6; SurfaceArea = 8494.8665353068
Tetrahedron: a = 14; Density = 28; SurfaceArea = 339.4819582834999
Parallelepiped: a = 1, b = 29, c = 7; Density = 15; SurfaceArea = 478.0
Parallelepiped: a = 8, b = 26, c = 2; Density = 5; SurfaceArea = 552.0
Parallelepiped: a = 5, b = 10, c = 5; Density = 26; SurfaceArea = 250.0
Parallelepiped: a = 11, b = 19, c = 12; Density = 5; SurfaceArea = 1138.0
Tetrahedron: a = 3; Density = 13; SurfaceArea = 15.588457268119894
Parallelepiped: a = 12, b = 1, c = 17; Density = 5; SurfaceArea = 466.0
Parallelepiped: a = 19, b = 6, c = 21; Density = 2; SurfaceArea = 1278.0
Parallelepiped: a = 26, b = 10, c = 6; Density = 9; SurfaceArea = 952.0
Parallelepiped: a = 7, b = 2, c = 7; Density = 21; SurfaceArea = 154.0
Tetrahedron: a = 27; Density = 17; SurfaceArea = 1262.6650387177115
Tetrahedron: a = 25; Density = 5; SurfaceArea = 1082.5317547305483
Sphere: r = 20; Density = 9; SurfaceArea = 5026.548245743669
Parallelepiped: a = 28, b = 26, c = 23; Density = 28; SurfaceArea = 3940.0
Tetrahedron: a = 6; Density = 30; SurfaceArea = 62.35382907247958
