Container stores 5000 shapes:
Parallelepiped: a = 4, b = 2, c = 22; Density = 10; SurfaceArea = 280.0
Parallelepiped: a = 15, b = 25, c = 25; Density = 22; SurfaceArea = 2750.0
Parallelepiped: a = 24, b = 10, c = 9; Density = 17; SurfaceArea = 1092.0
Sphere: r = 24; Density = 6; SurfaceArea = 7238.229473870883
Parallelepiped: a = 27, b = 8, c = 9; Density = 14; SurfaceArea = 1062.0
Parallelepiped: a = 4, b = 8, c = 3; Density = 18; SurfaceArea = 136.0
Sphere: r = 29; Density = 1; SurfaceArea = 10568.317686676064
Tetrahedron: a = 24; Density = 22; SurfaceArea = 997.6612651596732
Parallelepiped: a = 23, b = 5, c = 17; Density = 21; SurfaceArea = 1182.0
Tetrahedron: a = 6; Density = 15; SurfaceArea = 62.35382907247958
Tetrahedron: a = 14; Density = 19; SurfaceArea = 339.4819582834999
Parallelepiped: a = 29, b = 29, c = 26; Density = 27; SurfaceArea = 4698.0
Tetrahedron: a = 23; Density = 15; SurfaceArea = 916.2548772039361
Tetrahedron: a = 29; Density = 10; SurfaceArea = 1456.6547291654258
Tetrahedron: a = 11; Density = 30; SurfaceArea = 209.57814771583415
Sphere: r = 12; Density = 29; SurfaceArea = 1809.5573684677208
Tetrahedron: a = 16; Density = 11; SurfaceArea = 443.40500673763256
Parallelepiped: a = 19, b = 27, c = 7; Density = 25; SurfaceArea = 1670.0
Parallelepiped: a = 24, b = 10, c = 18; Density = 13; SurfaceArea = 1704.0
Sphere: r = 13; Density = 22; SurfaceArea = 2123.7166338267
Parallelepiped: a = 10, b = 2, c = 13; Density = 8; SurfaceArea = 352.0
Sphere: r = 23; Density = 27; SurfaceArea = 6647.610054996002
Sphere: r = 22; Density = 25; SurfaceArea = 6082.12337734984
Sphere: r = 28; Density = 27; SurfaceArea = 9852.03456165759
Parallelepiped: a = 6, b = 29, c = 18; Density = 7; SurfaceArea = 1608.0
Sphere: r = 20; Density = 13; SurfaceArea = 5026.548245743669
Tetrahedron: a = 23; Density = 28; SurfaceArea = 916.2548772039361
Parallelepiped: a = 18, b = 16, c = 17; Density = 1; SurfaceArea = 1732.0
Tetrahedron: a = 5; Density = 26; SurfaceArea = 43.30127018922193
Tetrahedron: a = 12; Density = 4; SurfaceArea = 249.4153162899183
Sphere: r = 26; Density = 16; SurfaceArea = 8494.8665353068
Tetrahedron: a = 11; Density = 12; SurfaceArea = 209.57814771583415
Parallelepiped: a = 11, b = 20, c = 26; Density = 5; SurfaceArea = 2052.0
Sphere: r = 21; Density = 16; SurfaceArea = 5541.769440932395
Parallelepiped: a = 9, b = 10, c = 14; Density = 4; SurfaceArea = 712.0
Sphere: r = 28; Density = 7; SurfaceArea = 9852.03456165759
Tetrahedron: a = 22; Density = 4; SurfaceArea = 838.3125908633366
Parallelepiped: a = 6, b = 10, c = 24; Density = 26; SurfaceArea = 888.0
Tetrahedron: a = 5; Density = 23; SurfaceArea = 43.30127018922193
Parallelepiped: a = 18, b = 19, c = 20; Density = 4; SurfaceArea = 2164.0
Sphere: r = 26; Density = 14; SurfaceArea = 8494.8665353068
Sphere: r = 16; Density = 17; SurfaceArea = 3216.990877275948
Tetrahedron: a = 2; Density = 5; SurfaceArea = 6.928203230275509
Parallelepiped: a = 23, b = 12, c = 21; Density = 18; SurfaceArea = 2022.0
Parallelepiped: a = 24, b = 20, c = 8; Density = 11; SurfaceArea = 1664.0
Sphere: r = 4; Density = 17; SurfaceArea = 201.06192982974676
Parallelepiped: a = 13, b = 4, c = 4; Density = 20; SurfaceArea = 240.0
Sphere: r = 19; Density = 10; SurfaceArea = 4536.459791783661
Sphere: r = 9; Density = 18; SurfaceArea = 1017.8760197630929
Tetrahedron: a = 20; Density = 20; SurfaceArea = 692.8203230275509
Parallelepiped: a = 13, b = 24, c = 10; Density = 1; SurfaceArea = 1364.0
Sphere: r = 26; Density = 27; SurfaceArea = 8494.8665353068
Tetrahedron: a = 23; Density = 7; SurfaceArea = 916.2548772039361
Parallelepiped: a = 20, b = 30, c = 1; Density = 22; SurfaceArea = 1300.0
Sphere: r = 1; Density = 28; SurfaceArea = 12.566370614359172
Sphere: r = 22; Density = 10; SurfaceArea = 6082.12337734984
Tetrahedron: a = 13; Density = 14; SurfaceArea = 292.71658647914023
Parallelepiped: a = 25, b = 10, c = 21; Density = 28; SurfaceArea = 1970.0
Tetrahedron: a = 13; Density = 25; SurfaceArea = 292.71658647914023
Sphere: r = 12; Density = 14; SurfaceArea = 1809.5573684677208
Tetrahedron: a = 12; Density = 15; SurfaceArea = 249.4153162899183
Tetrahedron: a = 26; Density = 28; SurfaceArea = 1170.866345916561
Parallelepiped: a = 5, b = 18, c = 2; Density = 24; SurfaceArea = 272.0
Parallelepiped: a = 12, b = 12, c = 14; Density = 30; SurfaceArea = 960.0
Sphere: r = 24; Density = 3; SurfaceArea = 7238.229473870883
Tetrahedron: a = 3; Density = 6; SurfaceArea = 15.588457268119894
Tetrahedron: a = 25; Density = 11; SurfaceArea = 1082.5317547305483
Sphere: r = 10; Density = 4; SurfaceArea = 1256.6370614359173
Sphere: r = 15; Density = 21; SurfaceArea = 2827.4333882308138
Tetrahedron: a = 7; Density = 18; SurfaceArea = 84.87048957087498
Tetrahedron: a = 16; Density = 22; SurfaceArea = 443.40500673763256
Tetrahedron: a = 22; Density = 2; SurfaceArea = 838.3125908633366
Sphere: r = 9; Density = 9; SurfaceArea = 1017.8760197630929
Tetrahedron: a = 8; Density = 30; SurfaceArea = 110.85125168440814
Tetrahedron: a = 20; Density = 10; SurfaceArea = 692.8203230275509
Tetrahedron: a = 1; Density = 12; SurfaceArea = 1.7320508075688772
Parallelepiped: a = 12, b = 24, c = 9; Density = 9; SurfaceArea = 1224.0
Sphere: r = 10; Density = 1; SurfaceArea = 1256.6370614359173
Sphere: r = 25; Density = 11; SurfaceArea = 7853.981633974483
Parallelepiped: a = 15, b = 15, c = 15; Density = 28; SurfaceArea = 1350.0
Tetrahedron: a = 12; Density = 25; SurfaceArea = 249.4153162899183
Tetrahedron: a = 24; Density = 13; SurfaceArea = 997.6612651596732
Tetrahedron: a = 23; Density = 27; SurfaceArea = 916.2548772039361
Sphere: r = 3; Density = 26; SurfaceArea = 113.09733552923255
Sphere: r = 15; Density = 9; SurfaceArea = 2827.4333882308138
Tetrahedron: a = 6; Density = 24; SurfaceArea = 62.35382907247958
Parallelepiped: a = 14, b = 27, c = 7; Density = 18; SurfaceArea = 1330.0
Sphere: r = 2; Density = 6; SurfaceArea = 50.26548245743669
Parallelepiped: a = 16, b = 19, c = 10; Density = 7; SurfaceArea = 1308.0
Sphere: r = 2; Density = 15; SurfaceArea = 50.26548245743669
Sphere: r = 9; Density = 21; SurfaceArea = 1017.8760197630929
Sphere: r = 30; Density = 8; SurfaceArea = 11309.733552923255
Parallelepiped: a = 26, b = 14, c = 10; Density = 14; SurfaceArea = 1528.0
Sphere: r = 14; Density = 19; SurfaceArea = 2463.0086404143976
Parallelepiped: a = 8, b = 7, c = 19; Density = 1; SurfaceArea = 682.0
Sphere: r = 18; Density = 11; SurfaceArea = 4071.5040790523717
Sphere: r = 30; Density = 24; SurfaceArea = 11309.733552923255
Tetrahedron: a = 7; Density = 22; SurfaceArea = 84.87048957087498
Tetrahedron: a = 9; Density = 23; SurfaceArea = 140.29611541307906
Parallelepiped: a = 11, b = 25, c = 21; Density = 15; SurfaceArea = 2062.0
Parallelepiped: a = 13, b = 2, c = 14; Density = 14; SurfaceArea = 472.0
Parallelepiped: a = 11, b = 28, c = 3; Density = 2; SurfaceArea = 850.0
Sphere: r = 28; Density = 24; SurfaceArea = 9852.03456165759
Tetrahedron: a = 11; Density = 14; SurfaceArea = 209.57814771583415
Tetrahedron: a = 22; Density = 5; SurfaceArea = 838.3125908633366
Sphere: r = 29; Density = 19; SurfaceArea = 10568.317686676064
Sphere: r = 6; Density = 8; SurfaceArea = 452.3893421169302
Sphere: r = 22; Density = 18; SurfaceArea = 6082.12337734984
Sphere: r = 18; Density = 30; SurfaceArea = 4071.5040790523717
Parallelepiped: a = 18, b = 4, c = 15; Density = 15; SurfaceArea = 804.0
Sphere: r = 28; Density = 23; SurfaceArea = 9852.03456165759
Tetrahedron: a = 27; Density = 13; SurfaceArea = 1262.6650387177115
Tetrahedron: a = 9; Density = 19; SurfaceArea = 140.29611541307906
Sphere: r = 19; Density = 22; SurfaceArea = 4536.459791783661
Tetrahedron: a = 20; Density = 10; SurfaceArea = 692.8203230275509
Tetrahedron: a = 19; Density = 7; SurfaceArea = 625.2703415323647
Parallelepiped: a = 21, b = 7, c = 9; Density = 28; SurfaceArea = 798.0
Tetrahedron: a = 1; Density = 12; SurfaceArea = 1.7320508075688772
Parallelepiped: a = 6, b = 15, c = 6; Density = 14; SurfaceArea = 432.0
Parallelepiped: a = 12, b = 5, c = 23; Density = 18; SurfaceArea = 902.0
Sphere: r = 24; Density = 9; SurfaceArea = 7238.229473870883
Tetrahedron: a = 1; Density = 18; SurfaceArea = 1.7320508075688772
Sphere: r = 25; Density = 19; SurfaceArea = 7853.981633974483
Tetrahedron: a = 29; Density = 6; SurfaceArea = 1456.6547291654258
Parallelepiped: a = 18, b = 26, c = 27; Density = 4; SurfaceArea = 3312.0
Tetrahedron: a = 28; Density = 15; SurfaceArea = 1357.9278331339997
Tetrahedron: a = 26; Density = 24; SurfaceArea = 1170.866345916561
Parallelepiped: a = 14, b = 1, c = 14; Density = 10; SurfaceArea = 448.0
Parallelepiped: a = 16, b = 6, c = 3; Density = 5; SurfaceArea = 324.0
Parallelepiped: a = 18, b = 16, c = 11; Density = 18; SurfaceArea = 1324.0
Sphere: r = 26; Density = 30; SurfaceArea = 8494.8665353068
Parallelepiped: a = 30, b = 8, c = 23; Density = 29; SurfaceArea = 2228.0
Sphere: r = 20; Density = 3; SurfaceArea = 5026.548245743669
Sphere: r = 11; Density = 3; SurfaceArea = 1520.53084433746
Parallelepiped: a = 22, b = 15, c = 5; Density = 27; SurfaceArea = 1030.0
Parallelepiped: a = 10, b = 30, c = 11; Density = 21; SurfaceArea = 1480.0
Sphere: r = 6; Density = 26; SurfaceArea = 452.3893421169302
Tetrahedron: a = 20; Density = 12; SurfaceArea = 692.8203230275509
Tetrahedron: a = 1; Density = 26; SurfaceArea = 1.7320508075688772
Tetrahedron: a = 30; Density = 18; SurfaceArea = 1558.8457268119894
Sphere: r = 28; Density = 19; SurfaceArea = 9852.03456165759
Sphere: r = 3; Density = 14; SurfaceArea = 113.09733552923255
Sphere: r = 22; Density = 9; SurfaceArea = 6082.12337734984
Parallelepiped: a = 5, b = 21, c = 26; Density = 5; SurfaceArea = 1562.0
Parallelepiped: a = 6, b = 11, c = 5; Density = 4; SurfaceArea = 302.0
Sphere: r = 18; Density = 30; SurfaceArea = 4071.5040790523717
Parallelepiped: a = 18, b = 27, c = 29; Density = 6; SurfaceArea = 3582.0
Sphere: r = 20; Density = 19; SurfaceArea = 5026.548245743669
Parallelepiped: a = 28, b = 2, c = 12; Density = 23; SurfaceArea = 832.0
Parallelepiped: a = 23, b = 6, c = 9; Density = 6; SurfaceArea = 798.0
Tetrahedron: a = 25; Density = 11; SurfaceArea = 1082.5317547305483
Tetrahedron: a = 12; Density = 8; SurfaceArea = 249.4153162899183
Sphere: r = 3; Density = 17; SurfaceArea = 113.09733552923255
Sphere: r = 28; Density = 3; SurfaceArea = 9852.03456165759
Sphere: r = 5; Density = 27; SurfaceArea = 314.1592653589793
Tetrahedron: a = 4; Density = 12; SurfaceArea = 27.712812921102035
Sphere: r = 6; Density = 27; SurfaceArea = 452.3893421169302
Sphere: r = 8; Density = 20; SurfaceArea = 804.247719318987
Tetrahedron: a = 26; Density = 28; SurfaceArea = 1170.866345916561
Parallelepiped: a = 19, b = 2, c = 3; Density = 22; SurfaceArea = 202.0
Sphere: r = 9; Density = 26; SurfaceArea = 1017.8760197630929
Parallelepiped: a = 22, b = 17, c = 24; Density = 19; SurfaceArea = 2620.0
Sphere: r = 3; Density = 13; SurfaceArea = 113.09733552923255
Sphere: r = 28; Density = 11; SurfaceArea = 9852.03456165759
Parallelepiped: a = 18, b = 17, c = 13; Density = 28; SurfaceArea = 1522.0
Tetrahedron: a = 24; Density = 30; SurfaceArea = 997.6612651596732
Tetrahedron: a = 15; Density = 21; SurfaceArea = 389.71143170299734
Parallelepiped: a = 1, b = 27, c = 7; Density = 9; SurfaceArea = 446.0
Sphere: r = 3; Density = 16; SurfaceArea = 113.09733552923255
Tetrahedron: a = 13; Density = 1; SurfaceArea = 292.71658647914023
Sphere: r = 17; Density = 12; SurfaceArea = 3631.681107549801
Tetrahedron: a = 11; Density = 14; SurfaceArea = 209.57814771583415
Parallelepiped: a = 9, b = 24, c = 11; Density = 8; SurfaceArea = 1158.0
Parallelepiped: a = 26, b = 20, c = 9; Density = 8; SurfaceArea = 1868.0
Tetrahedron: a = 17; Density = 14; SurfaceArea = 500.5626833874055
Parallelepiped: a = 18, b = 29, c = 28; Density = 30; SurfaceArea = 3676.0
Sphere: r = 18; Density = 3; SurfaceArea = 4071.5040790523717
Tetrahedron: a = 16; Density = 20; SurfaceArea = 443.40500673763256
Sphere: r = 24; Density = 8; SurfaceArea = 7238.229473870883
Parallelepiped: a = 27, b = 18, c = 22; Density = 12; SurfaceArea = 2952.0
Sphere: r = 18; Density = 3; SurfaceArea = 4071.5040790523717
Parallelepiped: a = 3, b = 26, c = 16; Density = 15; SurfaceArea = 1084.0
Sphere: r = 19; Density = 23; SurfaceArea = 4536.459791783661
Sphere: r = 10; Density = 25; SurfaceArea = 1256.6370614359173
Tetrahedron: a = 13; Density = 19; SurfaceArea = 292.71658647914023
Sphere: r = 28; Density = 21; SurfaceArea = 9852.03456165759
Tetrahedron: a = 26; Density = 3; SurfaceArea = 1170.866345916561
Sphere: r = 18; Density = 15; SurfaceArea = 4071.5040790523717
Tetrahedron: a = 1; Density = 24; SurfaceArea = 1.7320508075688772
Parallelepiped: a = 19, b = 29, c = 24; Density = 9; SurfaceArea = 3406.0
Parallelepiped: a = 27, b = 21, c = 29; Density = 2; SurfaceArea = 3918.0
Sphere: r = 28; Density = 19; SurfaceArea = 9852.03456165759
Parallelepiped: a = 7, b = 24, c = 2; Density = 11; SurfaceArea = 460.0
Tetrahedron: a = 9; Density = 7; SurfaceArea = 140.29611541307906
Tetrahedron: a = 6; Density = 27; SurfaceArea = 62.35382907247958
Sphere: r = 11; Density = 15; SurfaceArea = 1520.53084433746
Tetrahedron: a = 2; Density = 5; SurfaceArea = 6.928203230275509
Sphere: r = 4; Density = 1; SurfaceArea = 201.06192982974676
Tetrahedron: a = 17; Density = 27; SurfaceArea = 500.5626833874055
Tetrahedron: a = 30; Density = 24; SurfaceArea = 1558.8457268119894
Tetrahedron: a = 21; Density = 26; SurfaceArea = 763.8344061378748
Parallelepiped: a = 19, b = 3, c = 6; Density = 30; SurfaceArea = 378.0
Tetrahedron: a = 3; Density = 1; SurfaceArea = 15.588457268119894
Tetrahedron: a = 4; Density = 22; SurfaceArea = 27.712812921102035
Parallelepiped: a = 3, b = 28, c = 27; Density = 8; SurfaceArea = 1842.0
Sphere: r = 28; Density = 19; SurfaceArea = 9852.03456165759
Sphere: r = 28; Density = 8; SurfaceArea = 9852.03456165759
Sphere: r = 19; Density = 15; SurfaceArea = 4536.459791783661
Parallelepiped: a = 19, b = 30, c = 15; Density = 21; SurfaceArea = 2610.0
Parallelepiped: a = 22, b = 18, c = 12; Density = 14; SurfaceArea = 1752.0
Parallelepiped: a = 3, b = 27, c = 25; Density = 5; SurfaceArea = 1662.0
Tetrahedron: a = 17; Density = 22; SurfaceArea = 500.5626833874055
Tetrahedron: a = 2; Density = 2; SurfaceArea = 6.928203230275509
Tetrahedron: a = 8; Density = 20; SurfaceArea = 110.85125168440814
Parallelepiped: a = 29, b = 25, c = 16; Density = 17; SurfaceArea = 3178.0
Tetrahedron: a = 29; Density = 23; SurfaceArea = 1456.6547291654258
Sphere: r = 19; Density = 1; SurfaceArea = 4536.459791783661
Parallelepiped: a = 12, b = 26, c = 4; Density = 24; SurfaceArea = 928.0
Sphere: r = 7; Density = 2; SurfaceArea = 615.7521601035994
Parallelepiped: a = 23, b = 15, c = 6; Density = 7; SurfaceArea = 1146.0
Tetrahedron: a = 22; Density = 6; SurfaceArea = 838.3125908633366
Tetrahedron: a = 24; Density = 25; SurfaceArea = 997.6612651596732
Sphere: r = 22; Density = 2; SurfaceArea = 6082.12337734984
Tetrahedron: a = 4; Density = 3; SurfaceArea = 27.712812921102035
Parallelepiped: a = 9, b = 19, c = 12; Density = 17; SurfaceArea = 1014.0
Sphere: r = 27; Density = 28; SurfaceArea = 9160.884177867836
Parallelepiped: a = 20, b = 12, c = 22; Density = 16; SurfaceArea = 1888.0
Parallelepiped: a = 2, b = 2, c = 17; Density = 11; SurfaceArea = 144.0
Tetrahedron: a = 4; Density = 14; SurfaceArea = 27.712812921102035
Parallelepiped: a = 23, b = 1, c = 11; Density = 6; SurfaceArea = 574.0
Sphere: r = 29; Density = 6; SurfaceArea = 10568.317686676064
Parallelepiped: a = 26, b = 29, c = 24; Density = 23; SurfaceArea = 4148.0
Tetrahedron: a = 8; Density = 21; SurfaceArea = 110.85125168440814
Tetrahedron: a = 29; Density = 30; SurfaceArea = 1456.6547291654258
Tetrahedron: a = 23; Density = 8; SurfaceArea = 916.2548772039361
Parallelepiped: a = 16, b = 18, c = 24; Density = 15; SurfaceArea = 2208.0
Parallelepiped: a = 19, b = 29, c = 4; Density = 3; SurfaceArea = 1486.0
Parallelepiped: a = 4, b = 14, c = 22; Density = 22; SurfaceArea = 904.0
Parallelepiped: a = 8, b = 24, c = 23; Density = 25; SurfaceArea = 1856.0
Sphere: r = 22; Density = 28; SurfaceArea = 6082.12337734984
Sphere: r = 30; Density = 9; SurfaceArea = 11309.733552923255
Tetrahedron: a = 7; Density = 26; SurfaceArea = 84.87048957087498
Sphere: r = 28; Density = 29; SurfaceArea = 9852.03456165759
Sphere: r = 27; Density = 12; SurfaceArea = 9160.884177867836
Parallelepiped: a = 10, b = 20, c = 6; Density = 13; SurfaceArea = 760.0
Tetrahedron: a = 20; Density = 8; SurfaceArea = 692.8203230275509
Tetrahedron: a = 30; Density = 8; SurfaceArea = 1558.8457268119894
Parallelepiped: a = 9, b = 15, c = 1; Density = 6; SurfaceArea = 318.0
Sphere: r = 17; Density = 1; SurfaceArea = 3631.681107549801
Parallelepiped: a = 2, b = 8, c = 10; Density = 28; SurfaceArea = 232.0
Tetrahedron: a = 22; Density = 7; SurfaceArea = 838.3125908633366
Parallelepiped: a = 4, b = 4, c = 20; Density = 17; SurfaceArea = 352.0
Parallelepiped: a = 20, b = 23, c = 14; Density = 1; SurfaceArea = 2124.0
Parallelepiped: a = 25, b = 27, c = 21; Density = 3; SurfaceArea = 3534.0
Sphere: r = 20; Density = 16; SurfaceArea = 5026.548245743669
Parallelepiped: a = 12, b = 24, c = 4; Density = 17; SurfaceArea = 864.0
Parallelepiped: a = 9, b = 8, c = 27; Density = 14; SurfaceArea = 1062.0
Sphere: r = 25; Density = 24; SurfaceArea = 7853.981633974483
Tetrahedron: a = 19; Density = 18; SurfaceArea = 625.2703415323647
Sphere: r = 18; Density = 30; SurfaceArea = 4071.5040790523717
Sphere: r = 17; Density = 26; SurfaceArea = 3631.681107549801
Tetrahedron: a = 24; Density = 23; SurfaceArea = 997.6612651596732
Tetrahedron: a = 10; Density = 19; SurfaceArea = 173.20508075688772
Tetrahedron: a = 16; Density = 21; SurfaceArea = 443.40500673763256
Parallelepiped: a = 6, b = 18, c = 27; Density = 25; SurfaceArea = 1512.0
Parallelepiped: a = 12, b = 17, c = 15; Density = 13; SurfaceArea = 1278.0
Parallelepiped: a = 16, b = 30, c = 22; Density = 12; SurfaceArea = 2984.0
Sphere: r = 17; Density = 29; SurfaceArea = 3631.681107549801
Sphere: r = 26; Density = 3; SurfaceArea = 8494.8665353068
Sphere: r = 12; Density = 8; SurfaceArea = 1809.5573684677208
Sphere: r = 30; Density = 4; SurfaceArea = 11309.733552923255
Tetrahedron: a = 14; Density = 21; SurfaceArea = 339.4819582834999
Parallelepiped: a = 6, b = 13, c = 12; Density = 13; SurfaceArea = 612.0
Parallelepiped: a = 29, b = 20, c = 3; Density = 30; SurfaceArea = 1454.0
Parallelepiped: a = 21, b = 26, c = 8; Density = 26; SurfaceArea = 1844.0
Tetrahedron: a = 28; Density = 13; SurfaceArea = 1357.9278331339997
Parallelepiped: a = 2, b = 7, c = 13; Density = 9; SurfaceArea = 262.0
Sphere: r = 16; Density = 4; SurfaceArea = 3216.990877275948
Parallelepiped: a = 14, b = 5, c = 13; Density = 3; SurfaceArea = 634.0
Tetrahedron: a = 11; Density = 6; SurfaceArea = 209.57814771583415
Tetrahedron: a = 4; Density = 1; SurfaceArea = 27.712812921102035
Sphere: r = 8; Density = 23; SurfaceArea = 804.247719318987
Tetrahedron: a = 4; Density = 5; SurfaceArea = 27.712812921102035
Parallelepiped: a = 27, b = 28, c = 25; Density = 14; SurfaceArea = 4262.0
Parallelepiped: a = 5, b = 19, c = 11; Density = 22; SurfaceArea = 718.0
Sphere: r = 3; Density = 19; SurfaceArea = 113.09733552923255
Tetrahedron: a = 25; Density = 4; SurfaceArea = 1082.5317547305483
Sphere: r = 27; Density = 11; SurfaceArea = 9160.884177867836
Tetrahedron: a = 1; Density = 28; SurfaceArea = 1.7320508075688772
Parallelepiped: a = 10, b = 21, c = 2; Density = 23; SurfaceArea = 544.0
Sphere: r = 19; Density = 17; SurfaceArea = 4536.459791783661
Parallelepiped: a = 19, b = 4, c = 11; Density = 24; SurfaceArea = 658.0
Sphere: r = 7; Density = 1; SurfaceArea = 615.7521601035994
Parallelepiped: a = 9, b = 20, c = 29; Density = 21; SurfaceArea = 2042.0
Parallelepiped: a = 19, b = 27, c = 15; Density = 3; SurfaceArea = 2406.0
Parallelepiped: a = 4, b = 17, c = 17; Density = 30; SurfaceArea = 850.0
Tetrahedron: a = 25; Density = 21; SurfaceArea = 1082.5317547305483
Sphere: r = 12; Density = 30; SurfaceArea = 1809.5573684677208
Tetrahedron: a = 6; Density = 28; SurfaceArea = 62.35382907247958
Tetrahedron: a = 16; Density = 11; SurfaceArea = 443.40500673763256
Tetrahedron: a = 1; Density = 8; SurfaceArea = 1.7320508075688772
Tetrahedron: a = 20; Density = 9; SurfaceArea = 692.8203230275509
Sphere: r = 7; Density = 30; SurfaceArea = 615.7521601035994
Sphere: r = 30; Density = 16; SurfaceArea = 11309.733552923255
Sphere: r = 27; Density = 12; SurfaceArea = 9160.884177867836
Tetrahedron: a = 12; Density = 20; SurfaceArea = 249.4153162899183
Parallelepiped: a = 25, b = 6, c = 27; Density = 14; SurfaceArea = 1974.0
Sphere: r = 9; Density = 9; SurfaceArea = 1017.8760197630929
Tetrahedron: a = 25; Density = 5; SurfaceArea = 1082.5317547305483
Parallelepiped: a = 12, b = 12, c = 15; Density = 11; SurfaceArea = 1008.0
Tetrahedron: a = 15; Density = 15; SurfaceArea = 389.71143170299734
Parallelepiped: a = 23, b = 4, c = 6; Density = 16; SurfaceArea = 508.0
Sphere: r = 23; Density = 17; SurfaceArea = 6647.610054996002
Parallelepiped: a = 11, b = 15, c = 18; Density = 29; SurfaceArea = 1266.0
Tetrahedron: a = 24; Density = 24; SurfaceArea = 997.6612651596732
Sphere: r = 27; Density = 19; SurfaceArea = 9160.884177867836
Tetrahedron: a = 2; Density = 30; SurfaceArea = 6.928203230275509
Parallelepiped: a = 9, b = 20, c = 3; Density = 25; SurfaceArea = 534.0
Parallelepiped: a = 25, b = 26, c = 4; Density = 25; SurfaceArea = 1708.0
Sphere: r = 4; Density = 3; SurfaceArea = 201.06192982974676
Parallelepiped: a = 12, b = 18, c = 20; Density = 10; SurfaceArea = 1632.0
Sphere: r = 29; Density = 1; SurfaceArea = 10568.317686676064
Sphere: r = 10; Density = 11; SurfaceArea = 1256.6370614359173
Tetrahedron: a = 23; Density = 29; SurfaceArea = 916.2548772039361
Sphere: r = 5; Density = 11; SurfaceArea = 314.1592653589793
Parallelepiped: a = 20, b = 30, c = 24; Density = 5; SurfaceArea = 3600.0
Sphere: r = 9; Density = 13; SurfaceArea = 1017.8760197630929
Parallelepiped: a = 23, b = 8, c = 26; Density = 5; SurfaceArea = 1980.0
Parallelepiped: a = 10, b = 22, c = 3; Density = 27; SurfaceArea = 632.0
Tetrahedron: a = 7; Density = 27; SurfaceArea = 84.87048957087498
Parallelepiped: a = 2, b = 6, c = 18; Density = 16; SurfaceArea = 312.0
Sphere: r = 20; Density = 9; SurfaceArea = 5026.548245743669
Parallelepiped: a = 7, b = 11, c = 24; Density = 21; SurfaceArea = 1018.0
Parallelepiped: a = 5, b = 27, c = 17; Density = 21; SurfaceArea = 1358.0
Parallelepiped: a = 14, b = 4, c = 21; Density = 21; SurfaceArea = 868.0
Sphere: r = 17; Density = 28; SurfaceArea = 3631.681107549801
Sphere: r = 10; Density = 30; SurfaceArea = 1256.6370614359173
Sphere: r = 9; Density = 2; SurfaceArea = 1017.8760197630929
Sphere: r = 15; Density = 3; SurfaceArea = 2827.4333882308138
Sphere: r = 6; Density = 29; SurfaceArea = 452.3893421169302
Tetrahedron: a = 21; Density = 12; SurfaceArea = 763.8344061378748
Parallelepiped: a = 28, b = 18, c = 15; Density = 15; SurfaceArea = 2388.0
Parallelepiped: a = 22, b = 21, c = 22; Density = 26; SurfaceArea = 2816.0
Sphere: r = 21; Density = 30; SurfaceArea = 5541.769440932395
Sphere: r = 5; Density = 1; SurfaceArea = 314.1592653589793
Sphere: r = 23; Density = 26; SurfaceArea = 6647.610054996002
Sphere: r = 23; Density = 2; SurfaceArea = 6647.610054996002
Tetrahedron: a = 8; Density = 3; SurfaceArea = 110.85125168440814
Tetrahedron: a = 9; Density = 17; SurfaceArea = 140.29611541307906
Parallelepiped: a = 25, b = 6, c = 23; Density = 30; SurfaceArea = 1726.0
Parallelepiped: a = 11, b = 8, c = 7; Density = 8; SurfaceArea = 442.0
Parallelepiped: a = 18, b = 21, c = 15; Density = 25; SurfaceArea = 1926.0
Sphere: r = 19; Density = 25; SurfaceArea = 4536.459791783661
Sphere: r = 8; Density = 22; SurfaceArea = 804.247719318987
Parallelepiped: a = 1, b = 7, c = 25; Density = 5; SurfaceArea = 414.0
Parallelepiped: a = 7, b = 21, c = 29; Density = 23; SurfaceArea = 1918.0
Tetrahedron: a = 22; Density = 5; SurfaceArea = 838.3125908633366
Sphere: r = 10; Density = 26; SurfaceArea = 1256.6370614359173
Tetrahedron: a = 14; Density = 11; SurfaceArea = 339.4819582834999
Tetrahedron: a = 16; Density = 17; SurfaceArea = 443.40500673763256
Parallelepiped: a = 28, b = 28, c = 26; Density = 27; SurfaceArea = 4480.0
Sphere: r = 10; Density = 24; SurfaceArea = 1256.6370614359173
Sphere: r = 7; Density = 7; SurfaceArea = 615.7521601035994
Sphere: r = 16; Density = 17; SurfaceArea = 3216.990877275948
Parallelepiped: a = 14, b = 28, c = 29; Density = 26; SurfaceArea = 3220.0
Parallelepiped: a = 15, b = 5, c = 16; Density = 5; SurfaceArea = 790.0
Sphere: r = 24; Density = 2; SurfaceArea = 7238.229473870883
Tetrahedron: a = 27; Density = 13; SurfaceArea = 1262.6650387177115
Parallelepiped: a = 5, b = 24, c = 13; Density = 15; SurfaceArea = 994.0
Sphere: r = 2; Density = 27; SurfaceArea = 50.26548245743669
Tetrahedron: a = 12; Density = 6; SurfaceArea = 249.4153162899183
Parallelepiped: a = 6, b = 30, c = 4; Density = 22; SurfaceArea = 648.0
Sphere: r = 13; Density = 16; SurfaceArea = 2123.7166338267
Tetrahedron: a = 9; Density = 17; SurfaceArea = 140.29611541307906
